Number,Trade type,Entry time,Exposure,Entry balance,Exit balance,Profit,Pnl (incl fees),Exchange,Margin,BTC Price
505,Short,16th Sep 2019 12:30,2 days 11 hours 30 minutes,1499.7081,1497.45854,-2.249562,-0.15,Bitmex,1,10262.5
504,Long,15th Sep 2019 22:00,14 hours 30 minutes,1523.08014,1499.23112,-23.849025,-1.57,Bitmex,1,10304.4
503,Short,9th Sep 2019 08:00,6 days 14 hours,1548.75311,1522.5562,-26.19691,-1.69,Bitmex,1,10310
502,Long,7th Sep 2019 15:00,1 day 17 hours,1594.40783,1547.82139,-46.586446,-2.92,Bitmex,1,10484.3
501,Short,6th Sep 2019 20:00,19 hours,1604.98017,1594.19207,-10.788103,-0.67,Bitmex,1,10306.9
500,Long,6th Sep 2019 05:00,15 hours,1662.33996,1603.80957,-58.530388,-3.52,Bitmex,1,10306.9
499,Short,5th Sep 2019 09:00,20 hours,1684.73723,1661.88287,-22.854363,-1.36,Bitmex,1,10574.7
498,Long,5th Sep 2019 04:30,4 hours 30 minutes,1690.58172,1684.61796,-5.963766,-0.35,Bitmex,1,10574.7
497,Short,4th Sep 2019 07:00,21 hours 30 minutes,1698.08989,1690.42849,-7.661397,-0.45,Bitmex,1,10582.2
496,Long,29th Aug 2019 20:30,5 days 10 hours 30 minutes,1542.13602,1701.27262,159.1366,10.32,Bitmex,1,9495
495,Short,26th Aug 2019 17:30,3 days 3 hours,1420.34132,1544.62163,124.280314,8.75,Bitmex,1,10361.6
494,Long,25th Aug 2019 06:00,1 day 11 hours 30 minutes,1388.39216,1420.99334,32.601183,2.35,Bitmex,1,10140.9
493,Short,24th Aug 2019 08:30,21 hours 30 minutes,1378.41188,1388.59583,10.183956,0.74,Bitmex,1,10147.9
492,Long,22nd Aug 2019 03:30,2 days 5 hours,1348.2052,1379.02834,30.823136,2.29,Bitmex,1,10107.1
491,Long,19th Aug 2019 08:00,2 days 4 hours 37 minutes,1461.7723,1345.88751,-115.88479,-7.93,Bitmex,1,10920
490,Short,19th Aug 2019 05:00,3 hours,1512.32535,1460.7406,-51.584747,-3.41,Bitmex,1,10920
489,Long,18th Aug 2019 11:00,18 hours,1513.83626,1512.29452,-1.541741,-0.1,Bitmex,1,10315.4
488,Short,17th Aug 2019 08:00,1 day 3 hours,1517.57182,1513.76002,-3.811801,-0.25,Bitmex,1,10215.2
487,Long,16th Aug 2019 20:00,12 hours,1534.69773,1517.22231,-17.475417,-1.14,Bitmex,1,10352.7
486,Short,16th Aug 2019 10:30,9 hours 30 minutes,1591.63887,1533.53567,-58.103205,-3.65,Bitmex,1,10352.7
485,Long,15th Aug 2019 16:00,18 hours 30 minutes,1592.28056,1591.62578,-0.654782,-0.04,Bitmex,1,10300
484,Short,12th Aug 2019 10:30,3 days 5 hours 30 minutes,1416.32529,1595.87148,179.546195,12.68,Bitmex,1,11389.3
483,Long,11th Aug 2019 08:30,1 day 2 hours,1412.50607,1416.40323,3.897161,0.28,Bitmex,1,11540.7
482,Short,9th Aug 2019 18:00,1 day 14 hours 30 minutes,1362.00747,1413.53665,51.529182,3.78,Bitmex,1,11856.1
481,Long,7th Aug 2019 10:30,2 days 7 hours 30 minutes,1352.97083,1362.19189,9.221059,0.68,Bitmex,1,11983.7
480,Short,6th Aug 2019 21:00,13 hours 30 minutes,1355.81654,1352.91276,-2.903784,-0.21,Bitmex,1,11465.4
479,Long,6th Aug 2019 08:30,12 hours 30 minutes,1428.89337,1354.32518,-74.568191,-5.22,Bitmex,1,11465.4
